Date,Stock_Volume
2020.09.24,"73,891"
2020.09.25,"36,865"
2020.09.28,"38,350"
2020.09.29,"50,485"
2020.10.05,"61,294"
2020.10.06,"49,383"
2020.10.07,"127,654"
2020.10.08,"84,258"
2020.10.12,"49,784"
2020.10.13,"41,365"
2020.10.14,"40,978"
2020.10.15,"57,532"
2020.10.16,"34,698"
2020.10.19,"54,057"
2020.10.20,"44,354"
2020.10.21,"62,978"
2020.10.22,"41,538"
2020.10.23,"34,669"
2020.10.26,"27,660"
2020.10.27,"85,196"
2020.10.28,"54,139"
2020.10.29,"42,985"
2020.10.30,"55,317"
2020.11.02,"22,867"
2020.11.03,"31,519"
2020.11.04,"47,453"
2020.11.05,"45,446"
2020.11.06,"46,728"
2020.11.09,"56,607"
2020.11.10,"72,550"
2020.11.11,"57,455"
2020.11.12,"117,703"
2020.11.13,"55,163"
2020.11.16,"54,098"
2020.11.17,"67,228"
2020.11.18,"54,030"
2020.11.19,"113,362"
2020.11.20,"65,429"
2020.11.23,"78,138"
2020.11.24,"100,140"
2020.11.25,"121,534"
2020.11.26,"93,196"
2020.11.27,"51,829"
2020.11.30,"297,084"
2020.12.01,"86,110"
2020.12.02,"176,344"
2020.12.03,"96,701"
2020.12.04,"76,792"
2020.12.07,"46,745"
2020.12.08,"44,928"
2020.12.09,"63,236"
2020.12.10,"116,339"
2020.12.11,"73,852"
2020.12.14,"60,188"
2020.12.15,"80,282"
2020.12.16,"138,890"
2020.12.17,"77,148"
2020.12.18,"105,197"
2020.12.21,"53,945"
2020.12.22,"53,562"
2020.12.23,"43,446"
2020.12.24,"51,662"
2020.12.28,"76,942"
2020.12.29,"82,028"
2020.12.30,"69,149"
2021.01.04,"61,164"
2021.01.05,"142,960"
2021.01.06,"108,240"
2021.01.07,"118,815"
2021.01.08,"135,607"
2021.01.11,"131,327"
2021.01.12,"97,582"
2021.01.13,"83,932"
2021.01.14,"83,241"
2021.01.15,"100,962"
2021.01.18,"83,462"
2021.01.19,"77,098"
2021.01.20,"77,262"
2021.01.21,"47,547"
2021.01.22,"84,835"
2021.01.25,"64,130"
2021.01.26,"105,746"
2021.01.27,"70,115"
2021.01.28,"78,155"
2021.01.29,"126,734"
2021.02.01,"63,681"
2021.02.02,"68,175"
2021.02.03,"56,243"
2021.02.04,"53,993"
2021.02.05,"50,371"
2021.02.08,"49,860"
2021.02.09,"46,747"
2021.02.10,"104,119"
2021.02.15,"34,864"
2021.02.16,"35,424"
2021.02.17,"55,787"
2021.02.18,"68,530"
2021.02.19,"66,249"
2021.02.22,"36,994"
2021.02.23,"55,095"
2021.02.24,"63,476"
2021.02.25,"49,777"
2021.02.26,"101,817"
2021.03.02,"59,801"
2021.03.03,"51,226"
2021.03.04,"55,679"
2021.03.05,"39,056"
2021.03.08,"25,187"
2021.03.09,"55,262"
2021.03.10,"48,875"
2021.03.11,"111,393"
2021.03.12,"51,004"
2021.03.15,"53,609"
2021.03.16,"55,971"
2021.03.17,"45,345"
2021.03.18,"53,588"
2021.03.19,"61,035"
2021.03.22,"28,963"
2021.03.23,"46,179"
2021.03.24,"81,106"
2021.03.25,"57,862"
2021.03.26,"76,017"
2021.03.29,"32,864"
2021.03.30,"38,044"
2021.03.31,"56,211"
2021.04.01,"44,335"
2021.04.02,"34,163"
2021.04.05,"21,074"
2021.04.06,"36,716"
2021.04.07,"48,245"
2021.04.08,"73,132"
2021.04.09,"41,665"
2021.04.12,"33,614"
2021.04.13,"46,693"
2021.04.14,"44,406"
2021.04.15,"37,451"
2021.04.16,"48,291"
2021.04.19,"26,449"
2021.04.20,"39,084"
2021.04.21,"68,727"
2021.04.22,"44,331"
2021.04.23,"44,065"
2021.04.26,"36,034"
2021.04.27,"35,881"
2021.04.28,"48,521"
2021.04.29,"88,675"
2021.04.30,"58,748"
2021.05.03,"61,388"
2021.05.04,"74,536"
2021.05.06,"101,432"
2021.05.07,"79,442"
2021.05.10,"149,773"
2021.05.11,"129,335"
2021.05.12,"123,042"
2021.05.13,"88,597"
2021.05.14,"67,851"
2021.05.17,"60,816"
2021.05.18,"54,207"
2021.05.20,"71,214"
2021.05.21,"93,135"
2021.05.24,"54,751"
2021.05.25,"85,546"
2021.05.26,"68,833"
2021.05.27,"175,335"
2021.05.28,"49,141"
2021.05.31,"75,245"
2021.06.01,"66,854"
2021.06.02,"54,983"
2021.06.03,"44,335"
2021.06.04,"48,161"
2021.06.07,"55,821"
2021.06.08,"94,048"
2021.06.09,"72,803"
2021.06.10,"117,923"
2021.06.11,"82,843"
2021.06.14,"49,242"
2021.06.15,"41,108"
2021.06.16,"27,042"
2021.06.17,"56,084"
2021.06.18,"128,087"
2021.06.21,"52,489"
2021.06.22,"36,930"
2021.06.23,"45,575"
2021.06.24,"62,248"
2021.06.25,"57,410"
2021.06.28,"32,187"
2021.06.29,"43,824"
2021.06.30,"91,029"
2021.07.01,"79,021"
2021.07.02,"45,721"
2021.07.05,"42,145"
2021.07.06,"48,462"
2021.07.07,"56,139"
2021.07.08,"149,342"
2021.07.09,"114,822"
2021.07.12,"39,636"
2021.07.13,"110,583"
2021.07.14,"87,052"
2021.07.15,"139,668"
2021.07.16,"87,758"
2021.07.19,"46,453"
2021.07.20,"49,612"
2021.07.21,"89,465"
2021.07.22,"57,501"
2021.07.23,"98,941"
2021.07.26,"53,732"
2021.07.27,"38,829"
2021.07.28,"56,752"
2021.07.29,"33,731"
2021.07.30,"86,418"
2021.08.02,"53,696"
2021.08.03,"96,700"
2021.08.04,"92,611"
2021.08.05,"87,024"
2021.08.06,"79,714"
2021.08.09,"45,238"
2021.08.10,"30,534"
2021.08.11,"35,614"
2021.08.12,"58,095"
2021.08.13,"72,304"
2021.08.17,"90,719"
2021.08.18,"51,916"
2021.08.19,"83,860"
2021.08.20,"82,814"
2021.08.23,"52,735"
2021.08.24,"51,502"
2021.08.25,"36,599"
2021.08.26,"50,583"
2021.08.27,"57,848"
2021.08.30,"29,362"
2021.08.31,"65,730"
2021.09.01,"37,352"
2021.09.02,"57,549"
2021.09.03,"50,955"
2021.09.06,"61,605"
2021.09.07,"51,617"
2021.09.08,"75,497"
2021.09.09,"99,734"
2021.09.10,"125,861"
2021.09.13,"55,233"
2021.09.14,"45,513"
2021.09.15,"35,411"
2021.09.16,"30,850"
2021.09.17,"66,285"
2021.09.23,"45,524"
2021.09.24,"42,620"
2021.09.27,"37,745"
2021.09.28,"36,400"
2021.09.29,"59,133"
2021.09.30,"72,080"
2021.10.01,"33,719"
2021.10.05,"45,386"
2021.10.06,"58,048"
2021.10.07,"39,524"
2021.10.08,"49,517"
2021.10.12,"40,029"
2021.10.13,"45,528"
2021.10.14,"46,045"
2021.10.15,"49,195"
2021.10.18,"55,791"
2021.10.19,"44,165"
2021.10.20,"43,893"
2021.10.21,"103,784"
2021.10.22,"26,953"
2021.10.25,"28,467"
2021.10.26,"30,410"
2021.10.27,"65,691"
2021.10.28,"55,098"
2021.10.29,"66,135"
2021.11.01,"57,372"
2021.11.02,"71,840"
2021.11.03,"56,639"
2021.11.04,"60,423"
2021.11.05,"55,714"
2021.11.08,"25,320"
2021.11.09,"45,608"
2021.11.10,"23,097"
2021.11.11,"44,976"
2021.11.12,"28,542"
2021.11.15,"27,052"
2021.11.16,"38,998"
2021.11.17,"57,139"
2021.11.18,"40,039"
2021.11.19,"35,367"
2021.11.22,"41,422"
2021.11.23,"79,658"
2021.11.24,"193,585"
2021.11.25,"47,595"
2021.11.26,"48,341"
2021.11.29,"55,462"
2021.11.30,"119,315"
2021.12.01,"68,148"
2021.12.02,"58,329"
2021.12.03,"46,455"
2021.12.06,"36,738"
2021.12.07,"39,036"
2021.12.08,"56,351"
2021.12.09,"77,926"
2021.12.10,"35,355"
2021.12.13,"52,852"
2021.12.14,"43,242"
2021.12.15,"26,315"
2021.12.16,"47,920"
2021.12.17,"46,755"
2021.12.20,"43,275"
2021.12.21,"42,047"
2021.12.22,"57,267"
2021.12.23,"67,029"
2021.12.24,"35,024"
2021.12.27,"25,753"
2021.12.28,"54,858"
2021.12.29,"52,958"
2021.12.30,"48,733"
2022.01.03,"23,588"
2022.01.04,"57,310"
2022.01.05,"54,291"
2022.01.06,"63,019"
2022.01.07,"34,381"
2022.01.10,"23,767"
2022.01.11,"58,884"
2022.01.12,"49,652"
2022.01.13,"70,203"
2022.01.14,"50,872"
2022.01.17,"49,008"
2022.01.18,"60,133"
2022.01.19,"59,907"
2022.01.20,"31,514"
2022.01.21,"30,467"
2022.01.24,"40,771"
2022.01.25,"49,377"
2022.01.26,"43,240"
2022.01.27,"51,526"
2022.01.28,"74,127"
2022.02.03,"57,580"
2022.02.04,"52,231"
2022.02.07,"92,816"
2022.02.08,"57,856"
2022.02.09,"56,544"
2022.02.10,"62,780"
2022.02.11,"47,113"
2022.02.14,"36,394"
2022.02.15,"41,679"
2022.02.16,"36,194"
2022.02.17,"59,954"
2022.02.18,"32,566"
2022.02.21,"25,031"
2022.02.22,"32,981"
2022.02.23,"21,457"
2022.02.24,"39,729"
2022.02.25,"41,164"
2022.02.28,"55,995"
2022.03.02,"108,178"
2022.03.03,"36,290"
2022.03.04,"32,359"
2022.03.07,"39,952"
2022.03.08,"42,062"
2022.03.10,"108,385"
2022.03.11,"62,965"
2022.03.14,"50,062"
2022.03.15,"31,673"
2022.03.16,"23,454"
2022.03.17,"70,975"
2022.03.18,"58,242"
2022.03.21,"25,060"
2022.03.22,"26,547"
2022.03.23,"26,282"
2022.03.24,"30,529"
2022.03.25,"30,724"
2022.03.28,"66,570"
2022.03.29,"43,188"
2022.03.30,"69,850"
2022.03.31,"55,097"
2022.04.01,"38,874"
2022.04.04,"42,172"
2022.04.05,"37,260"
2022.04.06,"47,439"
2022.04.07,"52,788"
2022.04.08,"34,326"
2022.04.11,"23,622"
2022.04.12,"34,787"
2022.04.13,"43,361"
2022.04.14,"63,289"
2022.04.15,"42,006"
2022.04.18,"20,220"
2022.04.19,"49,513"
2022.04.20,"57,080"
2022.04.21,"42,853"
2022.04.22,"46,144"
2022.04.25,"37,905"
2022.04.26,"40,131"
2022.04.27,"34,211"
2022.04.28,"41,794"
2022.04.29,"66,477"
2022.05.02,"25,932"
2022.05.03,"32,074"
2022.05.04,"19,006"
2022.05.06,"55,798"
2022.05.09,"35,533"
2022.05.10,"55,838"
2022.05.11,"64,033"
2022.05.12,"67,508"
2022.05.13,"41,061"
2022.05.16,"34,727"
2022.05.17,"50,162"
2022.05.18,"71,093"
2022.05.19,"76,012"
2022.05.20,"68,147"
2022.05.23,"67,529"
2022.05.24,"41,428"
2022.05.25,"41,478"
2022.05.26,"53,587"
2022.05.27,"40,221"
2022.05.30,"38,294"
2022.05.31,"188,643"
2022.06.02,"75,118"
2022.06.03,"39,225"
2022.06.07,"56,075"
2022.06.08,"51,706"
2022.06.09,"104,967"
2022.06.10,"54,481"
2022.06.13,"57,112"
2022.06.14,"75,160"
2022.06.15,"56,106"
2022.06.16,"61,849"
2022.06.17,"79,203"
2022.06.20,"43,286"
2022.06.21,"39,177"
2022.06.22,"32,915"
2022.06.23,"70,662"
2022.06.24,"44,843"
2022.06.27,"35,360"
2022.06.28,"57,847"
2022.06.29,"30,605"
2022.06.30,"63,599"
2022.07.01,"61,079"
2022.07.04,"36,303"
2022.07.05,"29,599"
2022.07.06,"63,309"
2022.07.07,"28,319"
2022.07.08,"43,109"
2022.07.11,"17,330"
2022.07.12,"28,218"
2022.07.13,"34,515"
2022.07.14,"80,922"
2022.07.15,"53,771"
2022.07.18,"24,276"
2022.07.19,"27,729"
2022.07.20,"35,278"
2022.07.21,"28,482"
2022.07.22,"31,747"
2022.07.25,"24,031"
2022.07.26,"21,899"
2022.07.27,"40,783"
2022.07.28,"36,734"
2022.07.29,"75,795"
2022.08.01,"39,160"
2022.08.02,"54,676"
2022.08.03,"48,295"
2022.08.04,"38,813"
2022.08.05,"40,377"
2022.08.08,"39,689"
2022.08.09,"54,980"
2022.08.10,"47,485"
2022.08.11,"54,740"
2022.08.12,"35,302"
2022.08.16,"30,153"
2022.08.17,"38,669"
2022.08.18,"83,308"
2022.08.19,"68,672"
2022.08.22,"57,260"
2022.08.23,"55,589"
2022.08.24,"51,962"
2022.08.25,"33,559"
2022.08.26,"46,098"
2022.08.29,"68,095"
2022.08.30,"72,586"
2022.08.31,"112,192"
2022.09.01,"67,503"
2022.09.02,"47,040"
2022.09.05,"37,283"
2022.09.06,"33,602"
2022.09.07,"63,735"
2022.09.08,"103,030"
2022.09.13,"85,301"
2022.09.14,"53,152"
2022.09.15,"34,341"
2022.09.16,"132,552"
2022.09.19,"43,987"
2022.09.20,"73,633"
2022.09.21,"60,011"
2022.09.22,"60,752"
2022.09.23,"42,733"
2022.09.26,"73,030"
2022.09.27,"92,717"
2022.09.28,"127,727"
2022.09.29,"63,958"
2022.09.30,"125,946"
2022.10.04,"93,755"
2022.10.05,"70,860"
2022.10.06,"139,157"
2022.10.07,"108,964"
2022.10.11,"103,401"
2022.10.12,"63,289"
2022.10.13,"74,537"
2022.10.14,"65,872"
2022.10.17,"52,931"
2022.10.18,"46,339"
2022.10.19,"56,351"
2022.10.20,"179,605"
2022.10.21,"77,886"
2022.10.24,"60,569"
2022.10.25,"54,064"
2022.10.26,"50,764"
2022.10.27,"53,231"
2022.10.28,"70,764"
2022.10.31,"56,401"
2022.11.01,"37,611"
2022.11.02,"43,677"
2022.11.03,"64,634"
2022.11.04,"66,851"
2022.11.07,"58,744"
2022.11.08,"55,282"
2022.11.09,"62,726"
2022.11.10,"76,664"
2022.11.11,"48,591"
2022.11.14,"55,428"
2022.11.15,"48,100"
2022.11.16,"62,307"
2022.11.17,"25,946"
2022.11.18,"45,916"
2022.11.21,"57,417"
2022.11.22,"46,437"
2022.11.23,"31,498"
2022.11.24,"28,269"
2022.11.25,"29,314"
2022.11.28,"43,804"
2022.11.29,"26,134"
2022.11.30,"102,999"
2022.12.01,"69,455"
2022.12.02,"35,468"
2022.12.05,"56,139"
2022.12.06,"51,088"
2022.12.07,"54,746"
2022.12.08,"72,192"
2022.12.09,"62,615"
2022.12.12,"21,582"
2022.12.13,"35,962"
2022.12.14,"73,300"
2022.12.15,"45,431"
2022.12.16,"42,869"
2022.12.19,"48,031"
2022.12.20,"32,630"
2022.12.21,"28,401"
2022.12.22,"59,364"
2022.12.23,"33,275"
2022.12.26,"42,303"
2022.12.27,"55,920"
2022.12.28,"48,997"
2022.12.29,"49,292"
2023.01.02,"35,407"
2023.01.03,"38,689"
2023.01.04,"50,915"
2023.01.05,"51,191"
2023.01.06,"38,966"
2023.01.09,"49,406"
2023.01.10,"30,527"
2023.01.11,"53,983"
2023.01.12,"60,240"
2023.01.13,"77,368"
2023.01.16,"39,114"
2023.01.17,"71,300"
2023.01.18,"76,479"
2023.01.19,"115,346"
2023.01.20,"51,714"
2023.01.25,"52,532"
2023.01.26,"73,746"
2023.01.27,"58,773"
2023.01.30,"67,148"
2023.01.31,"128,045"
2023.02.01,"88,397"
2023.02.02,"101,306"
2023.02.03,"64,978"
2023.02.06,"69,105"
2023.02.07,"64,083"
2023.02.08,"52,993"
2023.02.09,"58,068"
2023.02.10,"50,937"
2023.02.13,"53,708"
2023.02.14,"61,093"
2023.02.15,"62,211"
2023.02.16,"66,787"
2023.02.17,"46,972"
2023.02.20,"52,640"
2023.02.21,"45,613"
2023.02.22,"69,283"
2023.02.23,"59,356"
2023.02.24,"38,525"
2023.02.27,"96,120"
2023.02.28,"112,437"
2023.03.02,"94,800"
2023.03.03,"71,796"
2023.03.06,"87,143"
2023.03.07,"70,632"
2023.03.08,"98,241"
2023.03.09,"129,274"
2023.03.10,"90,425"
2023.03.13,"89,094"
